
="";="(1)";="(2)";="(3)";="(4)"
="";="budgetbalDefault1";="budgetbalDefault2";="budgetbalDefault5";="budgetbalDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.0122**";="-0.0123**";="-0.0122**";="-0.0126**"
="";="(-2.24)";="(-2.25)";="(-2.22)";="(-2.30)"
="NGDP_RPCH";="-0.0182";="-0.0180";="-0.0209";="-0.0169"
="";="(-0.78)";="(-0.77)";="(-0.88)";="(-0.71)"
="ExtDebtPercGNI_Var";="-0.00312";="-0.00309";="-0.00298";="-0.00336"
="";="(-1.36)";="(-1.35)";="(-1.28)";="(-1.48)"
="BudgetBal_NGDP_Var";="-0.0000114";="-0.0000140";="-0.0000141";="-0.0000135"
="";="(-0.85)";="(-1.04)";="(-1.06)";="(-0.99)"
="PCPIPCH";="-0.000105";="-0.0000951";="-0.0000989";="-0.0000845"
="";="(-0.24)";="(-0.22)";="(-0.23)";="(-0.19)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.225";="";="";=""
="";="(1.02)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.194";="";=""
="";="";="(1.00)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.374**";=""
="";="";="";="(2.12)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.143"
="";="";="";="";="(0.71)"
="Const";="-0.857***";="-0.854***";="-0.939***";="-0.859***"
="";="(-5.34)";="(-5.38)";="(-5.93)";="(-5.10)"

="lnsig2u";="";="";="";=""
="Const";="-0.140";="-0.143";="-0.168";="-0.132"
="";="(-0.54)";="(-0.56)";="(-0.66)";="(-0.52)"

="Observations";="1194";="1194";="1194";="1194"
="r2_mf";="0.0166";="0.0162";="0.0200";="0.0152"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
