
="";="(1)";="(2)";="(3)";="(4)"
="";="structbalDefault1";="structbalDefault2";="structbalDefault5";="structbalDefault10"

="Diff_UP_SM";="";="";="";=""
="NGDPDPC_Var";="-0.0140*";="-0.0133*";="-0.0137*";="-0.0140*"
="";="(-1.85)";="(-1.78)";="(-1.82)";="(-1.85)"
="NGDP_RPCH";="0.0139";="0.00913";="0.0104";="0.0113"
="";="(0.38)";="(0.25)";="(0.28)";="(0.30)"
="ExtDebtPercGNI_Var";="-0.0183**";="-0.0188**";="-0.0187**";="-0.0185**"
="";="(-2.31)";="(-2.32)";="(-2.32)";="(-2.29)"
="GGSB_NPGDP";="-0.0647";="-0.0671";="-0.0667";="-0.0659"
="";="(-1.26)";="(-1.29)";="(-1.28)";="(-1.27)"
="PCPIPCH";="-0.0101";="-0.0148";="-0.0125";="-0.00992"
="";="(-0.34)";="(-0.48)";="(-0.40)";="(-0.33)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="0.207";="";="";=""
="";="(0.49)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="0.495";="";=""
="";="";="(0.96)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="0.237";=""
="";="";="";="(0.41)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="0.192"
="";="";="";="";="(0.53)"
="Const";="-1.132***";="-1.150***";="-1.135***";="-1.155***"
="";="(-3.96)";="(-4.00)";="(-3.92)";="(-3.97)"

="lnsig2u";="";="";="";=""
="Const";="0.416";="0.395";="0.402";="0.410"
="";="(1.00)";="(0.96)";="(0.95)";="(0.96)"

="Observations";="672";="672";="672";="672"
="r2_mf";="0.0300";="0.0332";="0.0306";="0.0303"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
