
="";="(1)";="(2)";="(3)";="(4)"
="";="grossdebtDefault1";="grossdebtDefault2";="grossdebtDefault5";="grossdebtDefault10"

="Diff_DW_SF";="";="";="";=""
="NGDPDPC_Var";="-0.00977";="-0.00973";="-0.00940";="-0.00934"
="";="(-1.52)";="(-1.50)";="(-1.48)";="(-1.46)"
="NGDP_RPCH";="-0.0469**";="-0.0459**";="-0.0490**";="-0.0459**"
="";="(-2.19)";="(-2.14)";="(-2.30)";="(-2.11)"
="ExtDebtPercGNI_Var";="-0.00455**";="-0.00466**";="-0.00441**";="-0.00419*"
="";="(-1.98)";="(-2.05)";="(-1.99)";="(-1.92)"
="GGXWDG_NGDP_Var";="-0.00191";="-0.00201";="-0.00199";="-0.00231"
="";="(-0.46)";="(-0.48)";="(-0.47)";="(-0.55)"
="PCPIPCH";="-0.000267";="-0.000291";="-0.000293";="-0.000386"
="";="(-0.54)";="(-0.59)";="(-0.60)";="(-0.70)"
="DefaultLastYear=0";="0";="";="";=""
="";="(.)";="";="";=""
="DefaultLastYear=1";="-0.238";="";="";=""
="";="(-1.34)";="";="";=""
="DefaultLast2Years=0";="";="0";="";=""
="";="";="(.)";="";=""
="DefaultLast2Years=1";="";="-0.268";="";=""
="";="";="(-1.43)";="";=""
="DefaultLast5Years=0";="";="";="0";=""
="";="";="";="(.)";=""
="DefaultLast5Years=1";="";="";="-0.0959";=""
="";="";="";="(-0.47)";=""
="DefaultLast10Years=0";="";="";="";="0"
="";="";="";="";="(.)"
="DefaultLast10Years=1";="";="";="";="-0.467*"
="";="";="";="";="(-1.74)"

="cut1";="";="";="";=""
="Const";="-0.0656";="-0.0986";="-0.00664";="-0.330"
="";="(-0.37)";="(-0.53)";="(-0.03)";="(-1.35)"

="cut2";="";="";="";=""
="Const";="1.444***";="1.413***";="1.498***";="1.177***"
="";="(6.30)";="(6.06)";="(5.70)";="(3.95)"

="cut3";="";="";="";=""
="Const";="2.214***";="2.184***";="2.271***";="1.944***"
="";="(7.23)";="(7.01)";="(6.78)";="(5.25)"

="cut4";="";="";="";=""
="Const";="2.557***";="2.527***";="2.613***";="2.282***"
="";="(8.61)";="(8.37)";="(7.98)";="(6.15)"

="cut5";="";="";="";=""
="Const";="2.694***";="2.664***";="2.749***";="2.416***"
="";="(9.37)";="(8.94)";="(8.25)";="(6.28)"

="cut6";="";="";="";=""
="Const";="3.355***";="3.316***";="3.399***";="3.059***"
="";="(9.42)";="(8.94)";="(8.14)";="(6.48)"

="cut7";="";="";="";=""
="Const";="3.594***";="3.547***";="3.628***";="3.288***"
="";="(7.30)";="(7.11)";="(6.66)";="(5.52)"

="cut8";="";="";="";=""
="Const";="3.906***";="3.854***";="3.932***";="3.596***"
="";="(5.03)";="(5.00)";="(4.85)";="(4.19)"

="sigma2_u";="";="";="";=""
="Const";="0.777**";="0.781**";="0.761**";="0.718*"
="";="(2.00)";="(2.01)";="(1.99)";="(1.87)"

="Observations";="435";="435";="435";="435"
="r2_mf";="0.0234";="0.0239";="0.0210";="0.0250"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
